Projekt;Teilprojekt;Arbeitspaket
810-FRA2001-ERP-AM;28450 Transitbestand;01-Umsetzung
810-FRA2001-ERP-AM;28455 Prüfung Lieferantenstamm über FORMAT SAM;01-Umsetzung
810-FRA2001-ERP-AM;28455 Prüfung Lieferantenstamm über FORMAT SAM;
810-FRA2001-ERP-AM;28483 Versandlabel mit akademischen Titel;01-Umsetzung
810-FRA2001-ERP-AM;28512 Konsignationsbestände negativ werden lassen;01-Umsetzung
810-FRA2001-ERP-AM;28528 Ändern von Rechnungen FR - Zahlungsmethode;01-Umsetzung
810-FRA2001-ERP-AM;28585 Signatur-App / Sign-Komponente;01-Umsetzung
810-FRA2001-ERP-AM;28593 Ratepay Rechnungskauf im Onlineshop CH;01-Umsetzung
810-FRA2001-ERP-AM;"28594 Erweitern Zahlart ""Ratepay Rechnung"" im Onlineshop AT";01-Umsetzung
810-FRA2001-ERP-AM;28597 BW - AFO - Rabatte als KPI / Anlage Wertfelder;01-Umsetzung
810-FRA2001-ERP-AM;28606 Zahlunsgseingangsverbuchung Amazon;01-Umsetzung
810-FRA2001-ERP-AM;28685 P01 - Anpassung der Anzeige der LF Termine Kundenaufträge;01-Umsetzung
810-FRA2001-ERP-AM;28797 Anpassung Layout Lieferschein ZLD1;01-Umsetzung
810-FRA2001-ERP-AM;28820 Entfall HU-Etikett zur WA-Buchung am Packplatz;01-Umsetzung
810-FRA2001-ERP-AM;28821 C&C fähige Artikel Kennzeichnung;01-Umsetzung
810-FRA2001-ERP-AM;28841-Einführung neuer Kommissionier-Wägen;01-Umsetzung
810-FRA2001-ERP-AM;28855 Evaluation: Equipmentstammsätze ohne Lagerortangabe führen;01-Umsetzung
810-FRA2001-ERP-AM;28875 Report zur Stornierung von TAs;01-Umsetzung
810-FRA2001-ERP-AM;28883 Sperrig Artikel bzw. Versand als Info auf Label;01-Umsetzung
810-FRA2001-ERP-AM;28904 Zahlungseingangsverbuchung Kreditkarten;01-Umsetzung
810-FRA2001-ERP-AM;28918 Änderung VWKZ;01-Umsetzung
810-FRA2001-ERP-AM;28937 Erweiterung MDE Anzeige Kommissionierung;01-Umsetzung
810-FRA2001-ERP-AM;28950 Änderungen und Erweiterung ZMM_061 Übersicht;01-Umsetzung
810-FRA2001-ERP-AM;28998  Fiori Berechtigung Personaldatenänderung analog SAP;01-Umsetzung
810-FRA2001-ERP-AM;29005 Überlaufplatz F76 anlegen;01-Umsetzung
810-FRA2001-ERP-AM;29045 P01 - Liefersperre 09 automatisch nach 14 Tagen;01-Umsetzung
810-FRA2001-ERP-AM;29064 P01 - Liefersperre lässt sich löschen ohne das EWB vorhand;01-Umsetzung
810-FRA2001-ERP-AM;29226 Schnittstellen zu den Lieferanten;01-Umsetzung
810-FRA2001-ERP-AM;29233 P01 - Katalogbestellung in der Puffertabelle ZSD_112;01-Umsetzung
810-FRA2001-ERP-AM;29317  Anpassung Lieferlistenbildung Frankreich Tabelle SM30;01-Umsetzung
810-FRA2001-ERP-AM;29362 Frachtaufträge Konsolidierung Munition;01-Umsetzung
810-FRA2001-ERP-AM;29418 Outsourcing Postausgang - Briefe;01-Umsetzung
810-FRA2001-ERP-AM;29449 Kunde mehrmals belastet und gutgeschrieben;01-Umsetzung
810-FRA2001-ERP-AM;29537 Atikelstamm Einbindung Gefahrgut;01-Umsetzung
810-FRA2001-ERP-AM;29625 Ratepayzahlungen ohne E Mail;
810-FRA2001-ERP-AM;29655 Fiori Launchpad - Ankauf freie Ware;01-Umsetzung
810-FRA2001-ERP-AM;29664 Amazon - Spartenhierarchie;01-Umsetzung
810-FRA2001-ERP-AM;29736 ebay.de: User Löschanfragen-Prozess in SAP implementieren;01-Umsetzung
810-FRA2001-ERP-AM;29743 Überarbeitung Musteretikett;01-Umsetzung
810-FRA2001-ERP-AM;29753 Anpassung Fiori Warenausgang Filiale;01-Umsetzung
810-FRA2001-ERP-AM;29808 P01 - Rücksendelabel für Sendungen nach Österreich;01-Umsetzung
810-FRA2001-ERP-AM;29847 P01 - Marktplätze Aufträge ohne Fehler landen als I-Doc;01-Umsetzung
810-FRA2001-ERP-AM;29885 P01 - Adressdaten werden nicht komplett an Rhenus;01-Umsetzung
810-FRA2001-ERP-AM;29953 Kundennummer bei vorhandener Lieferadresse zurückgeben;01-Umsetzung
810-FRA2001-ERP-AM;29980 Fiori - Offene EWBs werden nicht zugeordnet;01-Umsetzung
810-FRA2001-ERP-AM;29982 Überarbeitung Datenübertragung an Overnite;01-Umsetzung
810-FRA2001-ERP-AM;30003 Anpassen der Prüflogik des Sanktionsmonitors SAM3;01-Umsetzung
810-FRA2001-ERP-AM;30022 Untertätiger Neuterminierer mit Vorselektion;01-Umsetzung
810-FRA2001-ERP-AM;30030 Anzeige LF in der MD04;01-Umsetzung
810-FRA2001-ERP-AM;30031 P01 - Versand von Retourenlabel inkl. Rücksendeschein;01-Umsetzung
810-FRA2001-ERP-AM;30037 neue Spalte für zu Verpackung noch gesperrte Les;01-Durchführung
810-FRA2001-ERP-AM;30052 Fiori - Erweiterung App Click & Reserve um Datum;01-Umsetzung
810-FRA2001-ERP-AM;30053 Fiori - Bestand aus Zentrale nicht bestellbar über App;01-Umsetzung
810-FRA2001-ERP-AM;30054 Fiori -  Auftragsanzeige fehlerhaft;01-Umsetzung
810-FRA2001-ERP-AM;30087 Bestandsübertragung Shop;01-Durchführung
810-FRA2001-ERP-AM;30104 Fiori - Erw. Kundenbindungsprogramm;01-Umsetzung
810-FRA2001-ERP-AM;30104-Fiori-Erw. Kundenbindungsprogramm;01-Umsetzung
810-FRA2001-ERP-AM;30110 Aktionsabwicklung: Erweiterung Vertriebsweg 02;01-Umsetzung
810-FRA2001-ERP-AM;30114 Umstellung der Kommunikation TTE von SFTP;01-Umsetzung
810-FRA2001-ERP-AM;30114 Umstellung der Kommunikation TTE von SFTP zu RESTFull Api;01-Umsetzung
810-FRA2001-ERP-AM;30140 Fußzeiletextänderung für Rechnung und Retourenschein FR;01-Umsetzung
810-FRA2001-ERP-AM;30154 EKGRP Gebrauchtwaffen;01-Umsetzung
810-FRA2001-ERP-AM;30167 Coding unter Transaktion LT44;01-Umsetzung
810-FRA2001-ERP-AM;30172 Automatisches setzen des Internetkennzeichens ZZZ;01-Umsetzung
810-FRA2001-ERP-AM;30177 SAP leere Zuordnung und gesplitterte Beträge;01-Umsetzung
810-FRA2001-ERP-AM;30185 Dynpro Feld MVKE-PRAT6 im Artikelstamm ändern;01-Umsetzung
810-FRA2001-ERP-AM;30203 Fiori - Kundenanlage Geburtsdatum einschränken;01-Umsetzung
810-FRA2001-ERP-AM;30204 P01/Shop - Sendungsverfolung online nicht korrekt;01-Umsetzung
810-FRA2001-ERP-AM;30216 P01 - Anzeige im Cockpit und Suche nicht möglich;01-Umsetzung
810-FRA2001-ERP-AM;30216 P01 - Anzeige im Cockpit und Suche nicht möglich;
810-FRA2001-ERP-AM;30217 Avisdatensatz Overnite - Übertragung nicht als Ident;01-Umsetzung
810-FRA2001-ERP-AM;30228 P01 - Verzögerungsschreiben nicht bei Status Kreditlimitpr;01-Umsetzung
810-FRA2001-ERP-AM;30229 P01 - Verzögerungsschreiben wird durch LF Termin;01-Umsetzung
810-FRA2001-ERP-AM;30233 P01 - Versandbestätigung an Exportkunden bei Rhenus;01-Umsetzung
810-FRA2001-ERP-AM;30234 Fehler in der Avise Verarbeitung Otto-Marktplatz;01-Umsetzung
810-FRA2001-ERP-AM;30248 Gebrauchtwaffen-Ankäufe Fiori App;01-Umsetzung
810-FRA2001-ERP-AM;30281 Packtisch Wegeoptimiert LE abarbeiten;01-Umsetzung
810-FRA2001-ERP-AM;30284 Kommissionierregeln Optimierung;01-Umsetzung
810-FRA2001-ERP-AM;30305 ZWM_000 Filialanzeige;01-Umsetzung
810-FRA2001-ERP-AM;30306 ebay Avis Verbuchung;01-Umsetzung
810-FRA2001-ERP-AM;30309 Warenausgang am Filialausgang POP Fenster;01-Durchführung
810-FRA2001-ERP-AM;30322 Dump Umlagerung;01-Umsetzung
810-FRA2001-ERP-AM;30339 Ankaufsbuchungen 2211142 laufen ohne Gegenbuchung;01-Umsetzung
810-FRA2001-ERP-AM;30362 Fiori - Fehler Umlagerungsmails;01-Umsetzung
810-FRA2001-ERP-AM;30363 SAP-P01 - Umschreibung von A. Tester auf echte KD- Nr.;01-Umsetzung
810-FRA2001-ERP-AM;30365 Bürgel geht nicht;01-Umsetzung
810-FRA2001-ERP-AM;30368 Support IOT zur Inventur;01-Umsetzung
810-FRA2001-ERP-AM;30368 Support IOT zur Inventur;
810-FRA2001-ERP-AM;30373 Bereitstellung der Jagdschul(-daten) in zwebkunde;01-Umsetzung
810-FRA2001-ERP-AM;30385 Filiale Umsetzung AT;01-Umsetzung
810-FRA2001-ERP-AM;30387 Sichtbarkeit Marktplatzaufträge;01-Umsetzung
810-FRA2001-ERP-AM;30390 eBay.de: Liefergruppen-Bildung bei Aufträgen;01-Umsetzung
810-FRA2001-ERP-AM;30392 Zahlungseingangsverbuchung Zalando via Avis;01-Umsetzung
810-FRA2001-ERP-AM;30398 Fallbackprozess JJ-Rucksackversand;01-Umsetzung
810-FRA2001-ERP-AM;30403 Fiori fehler_ keine Kundendaten bei Banf;01-Umsetzung
810-FRA2001-ERP-AM;30411 Probleme bei der Auftragsanlage bzw. bei der Erfassung;01-Umsetzung
810-FRA2001-ERP-AM;30416 Fiori_Fehler abweichende Lieferadresse;01-Umsetzung
810-FRA2001-ERP-AM;30428 Auctronia: Umsatzsteuer-ID pflegen;01-Umsetzung
810-FRA2001-ERP-AM;30503 Sicherheitsbestand Großhandel;01-Umsetzung
810-FRA2001-ERP-AM;30512 Null-Nali KZ - Pflichtfeld;01-Umsetzung
810-FRA2001-ERP-AM;30513 WS Preise B2B;01-Umsetzung
810-FRA2001-ERP-AM;30520 Bestellung Elektronisch an Merkel senden;01-Umsetzung
810-FRA2001-ERP-AM;30530 Änderung der Steuernummer der Frankonia KG in Dok.;01-Umsetzung
810-FRA2001-ERP-AM;30540 Plätze über Tabelleneintrag löschen;01-Umsetzung
810-FRA2001-ERP-AM;30541 Jungjäger: Keine Anträge in Fiori;01-Umsetzung
810-FRA2001-ERP-AM;30571 SAP QM Einspielreport;01-Umsetzung
810-FRA2001-ERP-AM;30572 Verriegelung Erfassung WBK-Zahlkarten im Kundenstamm;01-Umsetzung
810-FRA2001-ERP-AM;30572 Verriegelung Erfassung WBK-Zahlkarten im Kundenstamm;
810-FRA2001-ERP-AM;30573 Paketbegleitschein - Warenempfänger;01-Umsetzung
810-FRA2001-ERP-AM;30579 DPD Avisierung 02.02.2022 nicht möglich;01-Umsetzung
810-FRA2001-ERP-AM;30583 P01 - Fiori Dokument löst Text in Auftrag aus;01-Umsetzung
810-FRA2001-ERP-AM;30585 P01 - Doppelte Gutschrift von Versandkosten;01-Umsetzung
810-FRA2001-ERP-AM;30594 POS-Faktura Preisermittlung für WS;01-Umsetzung
810-FRA2001-ERP-AM;30596 P01 - Falsche Rückzahlung PayPal bei Mengenänderung;
810-FRA2001-ERP-AM;30597 Bereinigung Partenrolle Z0;01-Umsetzung
810-FRA2001-ERP-AM;30603 Jungjäger: automatisierter Rucksackversand funktioniert n.;01-Umsetzung
810-FRA2001-ERP-AM;30628 neue Versandstelle für Drittlandsaufträge Rhenus;01-Umsetzung
810-FRA2001-ERP-AM;30633 Packtisch - Rechnungserstellung als PDF beim einlagern;01-Umsetzung
810-FRA2001-ERP-AM;30633 Packtisch - Rechnungserstellung als PDF beim einlagern;
810-FRA2001-ERP-AM;30634 Unvollständiges Retourelabel Rhenus;01-Umsetzung
810-FRA2001-ERP-AM;30634 Unvollständiges Retourelabel Rhenus;
810-FRA2001-ERP-AM;30636 Manueller Auftrag mit Paypal nicht möglich;
810-FRA2001-ERP-AM;30655 Amazon FBA Versandkosten;01-Umsetzung
810-FRA2001-ERP-AM;30657 Neues Feld im SAP für Herstellerfarben;01-Umsetzung
810-FRA2001-ERP-AM;30674 manuelle Transport- / Kommissioneraufträge für Filialen;01-Umsetzung
810-FRA2001-ERP-AM;30675 manuelles Label für das Ausland erstellen über ZWM_029;01-Umsetzung
810-FRA2001-ERP-AM;30683 Lagerquant nicht mehr vorhanden;01-Umsetzung
810-FRA2001-ERP-AM;30704 P01 - Telefonverkauf Kreditkarte und Gutscheinkauf;01-Umsetzung
810-FRA2001-ERP-AM;30726 Automatisiertes Absagen von UB, KB und MB Umlagerungen;01-Umsetzung
810-FRA2001-ERP-AM;30728 Zahlunsgseingangsverbuchung Otto (Ablösung Litreca);01-Umsetzung
810-FRA2001-ERP-AM;30732 Anpassung Lieferlauf AT;01-Umsetzung
810-FRA2001-ERP-AM;30747 Endgeliefert Bearbeitung offene Umlagerungen;01-Umsetzung
810-FRA2001-ERP-AM;30748 Leerzeichen in Katalogtexten fehlen;01-Umsetzung
810-FRA2001-ERP-AM;30749 ZWM_071 Anzeige Sperrig Vorrat defekt;01-Umsetzung
810-FRA2001-ERP-AM;30751 Druck Rechnungen in der Waffenkartei erfolgt nicht;01-Umsetzung
810-FRA2001-ERP-AM;30760 Hängende TB_ONE IDocs;01-Umsetzung
810-FRA2001-ERP-AM;30761 Änderungen relevante Metadaten;01-Umsetzung
810-FRA2001-ERP-AM;30763 P01 - SAP Schreibmaschine zsd_071 funktioniert nicht;01-Umsetzung
810-FRA2001-ERP-AM;30764 P01 - PDF-Guscheinkauf mit negativem Wert - Storno;
810-FRA2001-ERP-AM;30766 Bedingungen für Retourenlabel;01-Umsetzung
810-FRA2001-ERP-AM;30772 Optimierung IBAN-Erfassung;01-Umsetzung
810-FRA2001-ERP-AM;30772 Optimierung IBAN-Erfassung;02-Wochenplanung
810-FRA2001-ERP-AM;30772 Optimierung IBAN-Erfassung;
810-FRA2001-ERP-AM;30773 TradeByte-IDOCs lassen sich nicht verarbeiten;01-Umsetzung
810-FRA2001-ERP-AM;30782 Unschärfe bei der Zuteilung von Sperrig Wägen;01-Umsetzung
810-FRA2001-ERP-AM;30788 Neuer Behälter-Typ G 11K Reithalle;01-Umsetzung
810-FRA2001-ERP-AM;30791 Fehler bei Einlagerung ins Kons.-Lager;01-Umsetzung
810-FRA2001-ERP-AM;30796 Amazon FBA Fakturen automatisieren;01-Umsetzung
810-FRA2001-ERP-AM;30796 Amazon FBA Fakturen automatisieren;
810-FRA2001-ERP-AM;30804 Transaktion SOSG zeigt keine Werkstattmails an;01-Umsetzung
810-FRA2001-ERP-AM;30806 Bestände MDE (Flexusanwendung) stimmen nicht mit SAP;01-Umsetzung
810-FRA2001-ERP-AM;30837 Inventurerweiterung Werkstattauswertung;01-Umsetzung
810-FRA2001-ERP-AM;30838 Status für C&C-Auftäge;01-Umsetzung
810-FRA2001-ERP-AM;30856 P01 - Anton Tester Auftrag;01-Umsetzung
810-FRA2001-ERP-AM;30877 Preispflege Kasse/Cloud Staffelpreis Fehler;01-Umsetzung
810-FRA2001-ERP-AM;30922 Optimierung Packprozess;01-Umsetzung
810-FRA2001-ERP-AM;30924 Optimierung FR Prozesse;01-Umsetzung
810-FRA2001-ERP-AM;30924 Optimierung FR Prozesse;
810-FRA2001-ERP-AM;30932 Sperrung Personalkarten;01-Umsetzung
810-FRA2001-ERP-AM;30933 P01 - Deckblatt für Rücksendelabel wenn es gedruckt wird;01-Umsetzung
810-FRA2001-ERP-AM;30935 Abbruch Lieferlauf Rhenus;01-Umsetzung
810-FRA2001-ERP-AM;30935 Abbruch Lieferlauf Rhenus wegen Gutschein;01-Umsetzung
810-FRA2001-ERP-AM;30959 Versandkostenzuschläge AT;01-Umsetzung
810-FRA2001-ERP-AM;30972 Zahlart für Nutzer gesperrt;01-Umsetzung
810-FRA2001-ERP-AM;30991 Fehler bei Daten-Selektion Zoll-Rechnung ZSD_031;01-Umsetzung
810-FRA2001-ERP-AM;30992 Anpassung ZWM_094;01-Umsetzung
810-FRA2001-ERP-AM;30993 Fiori - Fotos aus App EWB Digitalisierung werden nicht ang;01-Umsetzung
810-FRA2001-ERP-AM;30994 Zahlartenmapping B2C erweitern;01-Umsetzung
810-FRA2001-ERP-AM;31006 Anpassung Rechnungsstellung Auctronia;01-Umsetzung
810-FRA2001-ERP-AM;31008 P01 - PDF Gutschein wird auf Rechnung nicht abgezogen;01-Umsetzung
810-FRA2001-ERP-AM;31032 Mahnung an Kunden mit Boni 801 und 804;01-Umsetzung
810-FRA2001-ERP-AM;31032 Mahnung an Kunden mit Boni 801 und 804;
810-FRA2001-ERP-AM;31036 Bestellungen im Kundenkonto nicht sichtbar;01-Umsetung
810-FRA2001-ERP-AM;31043: Fehler in Gebrauchtwaffen Fiori App;01-Umsetzung
810-FRA2001-ERP-AM;31045: Termin 01.02.2024 - Diverse Nummernkreise;01-Umsetzung
810-FRA2001-ERP-AM;31046 die Nachrichtenfindung schlägt Rhenus fehl;01-Umsetzung
810-FRA2001-ERP-AM;31078 P01 - Übernahme der Bezeichnung aus Fiori in SAP;01-Umsetzung
810-FRA2001-ERP-AM;31082 Erfassung Mobiltelefonnummer - Auctronia;01-Umsetzung
810-FRA2001-ERP-AM;31084 Prüfung / Korrekuru Freigabestrategie;01-Umsetzung
810-FRA2001-ERP-AM;31090 Aucronia: mögliche Laufzeit für Auktionen soll ausgeweitet;01-Umsetzung
810-FRA2001-ERP-AM;31104 Optimierung der Packtische;01-Umsetzung
